Trial,Target,0,1,2,3,4,5,6
1,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
2,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
3,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
4,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
5,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
6,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
7,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
8,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
9,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
10,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
11,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
12,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
13,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
14,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
15,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
16,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
17,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
18,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
19,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
20,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
21,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
22,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
23,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
24,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
25,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
26,6,NONE,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav
27,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
28,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
29,2,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE
30,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE
31,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE
32,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE,NONE
33,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE,NONE,NONE,NONE,NONE
34,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/complex_samples/complexTone_erb_s02_b64_l300_h4800_m05.wav,NONE
